X,Y,Layer1
74.0,19.0,7.0205264
74.5,19.0,7.2129993
75.0,19.0,6.9267945
75.5,19.0,6.710832
76.0,19.0,6.4716396
76.5,19.0,6.1527386
77.0,19.0,6.1375136
77.5,19.0,6.228832
78.0,19.0,6.3482213
78.5,19.0,5.977916
79.0,19.0,5.4332247
79.5,19.0,5.676085
80.0,19.0,5.024463
80.5,19.0,4.662903
81.0,19.0,5.0669966
81.5,19.0,5.298148
82.0,19.0,5.5677094
82.5,19.0,5.667796
83.0,19.0,5.711251
83.5,19.0,4.22222
84.0,19.0,4.226951
84.5,19.0,5.947259
85.0,19.0,7.273615
85.5,19.0,7.16575
86.0,19.0,7.056657
86.5,19.0,6.9960704
87.0,19.0,6.916125
87.5,19.0,6.771876
71.5,18.5,6.7200065
72.0,18.5,6.2649927
72.5,18.5,5.749054
73.0,18.5,5.5505376
73.5,18.5,6.5511813
74.0,18.5,7.030361
74.5,18.5,7.1533117
75.0,18.5,7.1462607
75.5,18.5,6.9681916
76.0,18.5,7.1421776
76.5,18.5,6.9089274
77.0,18.5,6.8294125
77.5,18.5,6.4416513
78.0,18.5,6.5093045
78.5,18.5,6.6107197
79.0,18.5,6.4077272
79.5,18.5,6.111603
80.0,18.5,5.3247123
80.5,18.5,4.8471627
81.0,18.5,4.4920826
81.5,18.5,4.7298713
82.0,18.5,4.052276
82.5,18.5,5.095418
83.0,18.5,4.99932
83.5,18.5,4.7289963
84.0,18.5,5.8305984
84.5,18.5,6.8491673
85.0,18.5,7.14542
85.5,18.5,7.1015773
86.0,18.5,7.0683413
86.5,18.5,7.015697
71.5,18.0,6.7642198
72.0,18.0,6.2569547
72.5,18.0,5.671805
73.0,18.0,5.575271
73.5,18.0,5.7049317
74.0,18.0,7.3522687
74.5,18.0,7.2227054
75.0,18.0,7.0500875
75.5,18.0,6.971528
76.0,18.0,7.1244507
76.5,18.0,7.2102094
77.0,18.0,7.01949
77.5,18.0,7.1264343
78.0,18.0,6.951824
78.5,18.0,7.2091775
79.0,18.0,7.2273173
79.5,18.0,6.8224063
80.0,18.0,6.198593
80.5,18.0,5.4650283
81.0,18.0,4.9399695
81.5,18.0,4.6011186
82.0,18.0,4.583365
82.5,18.0,5.2830305
83.0,18.0,5.54391
83.5,18.0,6.8274007
84.0,18.0,7.192286
84.5,18.0,7.241305
85.0,18.0,7.2609406
85.5,18.0,7.2574744
72.0,17.5,6.2204094
72.5,17.5,5.5035915
73.0,17.5,5.3463
73.5,17.5,5.153267
74.0,17.5,6.9816756
74.5,17.5,7.516456
75.0,17.5,7.027382
75.5,17.5,6.832172
76.0,17.5,6.7739415
76.5,17.5,6.6752563
77.0,17.5,6.417223
77.5,17.5,6.560885
78.0,17.5,7.2592397
78.5,17.5,7.0440226
79.0,17.5,6.828902
79.5,17.5,6.4050055
80.0,17.5,6.1449127
80.5,17.5,5.9965105
81.0,17.5,5.9471073
81.5,17.5,5.5949383
82.0,17.5,5.191153
82.5,17.5,6.2739053
83.0,17.5,7.1111984
83.5,17.5,7.4324408
84.0,17.5,7.4474306
84.5,17.5,7.4333553
85.0,17.5,7.4274273
72.0,17.0,6.2067213
72.5,17.0,5.535168
73.0,17.0,5.3089423
73.5,17.0,5.4237556
74.0,17.0,7.4420686
74.5,17.0,7.175461
75.0,17.0,7.656683
75.5,17.0,7.472158
76.0,17.0,7.103522
76.5,17.0,6.721725
77.0,17.0,6.3088984
77.5,17.0,6.66289
78.0,17.0,7.1327744
